status;invitation;relevance;lurker;recnum;code;itime;Q1;Q3a;Q5a;Q5b;Q5c;Q5d;Q5e;Q5f;Q5g;Q5h;Q5i;Q5j;Q5k;Q5l;Q5m;Q5n;Q5o;Q5p;Q5q;Q5r;Q6a;Q6b;Q6c;Q6d;Q6e;Q6f;Q6g;Q6h;Q6i;Q6j;Q6k;Q6l;Q6m;Q6n;Q6o;Q6p;Q6q;Q6r;Q7a;Q7b;Q7c;Q7d;Q7e;Q7f;Q8a;Q8b;Q8c;Q8d;Q8e;Q8f;Q9a;Q9b;Q9c;Q9d;Q10a;Q10b;Q10c;Q11a;Q11b;Q11c;Q11d;Q11e;Q11f;Q11g;Q12a;Q12b;Q12c;Q12d;Q13a;Q13b;Q13c;Q13d;Q13e;Q13f;Q13g;Q13h;Q13i;Q13j;Q14a;Q14b;Q14c;Q15a;Q17;Q18;Q19;Q20a;Q20b;Q21;Q22;Q23;Q24a;Q24b;V1B3T0;V1B3T1;V1B3T2;Q25;Q26;Q27;Q28a;Q28b;Q29;Q30;Q31;Q32a;Q32b;Q33;Q34;Q35;Q36a;Q36b;V2B2T0;V2B2T1;V2B2T2;Q37;Q38;Q39;Q40a;Q40b;Q41;Q42;Q43;Q44a;Q44b;Q45;Q46;Q47;Q48a;Q48b;V3B3T0;V3B3T1;V3B3T2;Q49;Q50;Q51;Q52a;Q52b;Q53;Q54;Q55;Q56a;Q56b;Q57;Q58;Q59;Q60a;Q60b;V4B1T0;V4B1T1;V4B1T2;Q61;Q62;Q63;Q64a;Q64b;Q65;Q66;Q67;Q68a;Q68b;Q69;Q70;Q71;Q72a;Q72b;V5B2T0;V5B2T1;V5B2T2;Q73;Q74;Q75;Q76a;Q76b;Q77;Q78;Q79;Q80a;Q80b;Q81;Q82;Q83;Q84a;Q84b;V6B1T0;V6B1T1;V6B1T2;Q85;Q86;Q87;Q88a;Q88b;Q89;Q89_3_text;Q90;Q91;Q91_2_text;Q92;Q93;Q94;Q95;Q96;Q97;Q98;random_15124694;random_15125852;random_15125933;random_15125048;random_15125972;random_15126093;random_15126095;random_15126101;random_15126105;random_15119837;random_1333244;random_1333248;random_1333252;random_1333706;random_1333708;random_1333710;random_1333713;random_1333715;random_1333717;random_1333720;random_1333722;random_1333724;random_1333727;random_1333729;random_1333731;random_1333734;random_1333736;random_1333738;t_insert;t_edit;date_0;date_1;date_2;date_3;date_4;date_5;date_6;date_7;date_8;date_9;date_10;date_11;date_12;date_13;date_14;date_15;date_16;date_17;date_18;date_19;date_20;date_21;date_22;Browser;BrowserVersion;OS;Device;Referer;Unsubscribed;Language
5;0;1;0;237;;13.05.2025;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;3;3;3;4;3;4;3;2;4;4;4;2;3;3;4;3;3;4;4;4;4;3;3;3;3;4;4;5;4;4;4;4;4;4;4;4;4;3;2;3;2;3;4;4;5;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;88;13;1;7;1;54;14;3;5;2;-2;-2;-1;59;50;7;5;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;49;1;-2;5;4;6;25;4;3;6;7,17,15,2,10,11,18,14,3,4,6,5,8,13,12,16,9,1;16,14,13,12,9,10,2,7,15,17,4,8,3,1,18,6,11,5;6,4,3,2,5,1;5,6,1,2,3,4;4,3,1,2;3,1,2;7,5,2,1,6,3,4;4,2,1,3;8,9,6,10,7,2,1,5,4,3;2,3,1;;;;;;;;;;V4B2T2;V4B3T0;V4B1T2;;;;;;;13.05.2025 10:33:25;13.05.2025 10:45:26;13.05.2025 10:33:29;13.05.2025 10:33:33;13.05.2025 10:33:42;13.05.2025 10:34:36;13.05.2025 10:35:44;13.05.2025 10:37:06;13.05.2025 10:38:11;13.05.2025 10:39:50;13.05.2025 10:40:49;13.05.2025 10:40:55;13.05.2025 10:40:55;;;;;13.05.2025 10:42:20;13.05.2025 10:43:36;13.05.2025 10:44:21;13.05.2025 10:44:21;;;13.05.2025 10:45:26;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 YaBrowser/24.10.0.0 Safari/537.36";Chrome 128.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
6;0;1;0;238;;13.05.2025;1;3;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;2;4;2;3;2;2;2;2;3;2;2;2;2;1;3;3;3;2;4;4;4;5;5;2;4;4;4;3;2;3;2;2;2;3;3;3;3;2;2;2;4;4;4;5;4;4;4;4;4;4;3;1;3;2;1;3;2;3;3;2;4;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;85;85;6;3;5;0;50;2;6;4;-2;-2;-1;100;0;1;7;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;27;1;-2;5;4;4;86;2;3;5;6,16,2,15,13,11,8,10,7,14,9,5,1,4,12,3,17,18;15,17,11,5,6,9,3,18,12,2,16,4,7,1,8,13,10,14;2,3,1,6,4,5;6,1,3,5,2,4;4,3,1,2;2,1,3;2,4,1,6,5,3,7;1,4,2,3;4,8,9,7,5,1,2,6,3,10;2,3,1;;;;;;;;;;;;;V5B3T2;V5B1T1;V5B2T2;;;;13.05.2025 10:33:25;13.05.2025 10:46:54;13.05.2025 10:33:31;13.05.2025 10:33:35;13.05.2025 10:33:55;13.05.2025 10:35:30;13.05.2025 10:36:45;13.05.2025 10:37:42;13.05.2025 10:39:04;13.05.2025 10:40:49;13.05.2025 10:41:51;13.05.2025 10:41:57;13.05.2025 10:41:58;;;;;;;13.05.2025 10:43:29;13.05.2025 10:44:20;13.05.2025 10:45:27;13.05.2025 10:45:27;13.05.2025 10:46:35;13.05.2025 10:46:54;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
6;0;1;0;239;;13.05.2025;1;3;4;4;4;4;5;4;4;3;3;4;4;4;4;3;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;3;2;2;2;4;3;3;4;4;4;4;4;2;4;4;3;4;2;4;3;3;2;2;4;4;2;2;2;4;3;3;4;5;3;4;4;4;3;3;3;3;4;4;3;4;4;3;2;3;4;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;65;95;6;2;6;26;0;1;7;2;-2;-2;-1;29;32;2;6;4;2;-2;24;1;-2;5;4;2;7;4;4;7;13,15,12,5,17,18,14,7,6,3,2,1,8,9,10,4,16,11;10,2,8,7,15,14,5,18,13,6,9,1,4,17,3,16,12,11;3,4,5,1,2,6;3,2,5,4,6,1;4,1,2,3;2,1,3;2,5,7,3,4,6,1;4,2,1,3;3,8,5,1,9,10,2,7,6,4;3,2,1;;;;;;;;;;;;;;;;V6B3T2;V6B2T0;V6B1T2;13.05.2025 10:33:25;13.05.2025 10:43:27;13.05.2025 10:33:27;13.05.2025 10:33:29;13.05.2025 10:33:34;13.05.2025 10:34:38;13.05.2025 10:35:47;13.05.2025 10:36:37;13.05.2025 10:37:38;13.05.2025 10:38:52;13.05.2025 10:39:40;13.05.2025 10:39:48;13.05.2025 10:39:48;;;;;;;;;13.05.2025 10:40:44;13.05.2025 10:41:41;13.05.2025 10:43:04;13.05.2025 10:43:27;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36";Chrome 0.0;Android;Phone;0;0;Russian
6;0;1;0;240;;13.05.2025;1;3;3;2;4;5;4;4;2;3;2;4;4;4;4;4;4;3;5;3;2;2;2;4;5;5;3;4;2;4;4;4;5;4;4;3;5;3;2;2;2;4;3;2;2;2;2;5;4;5;2;1;1;1;2;1;1;1;1;1;2;2;3;1;1;1;1;1;4;4;4;3;3;1;3;3;1;3;3;3;3;2;65;70;6;1;6;0;0;1;1;1;-2;-1;-2;70;71;5;4;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;35;1;-2;5;4;2;65;1;4;7;9,18,4,17,10,2,16,13,15,11,12,1,3,7,5,14,6,8;2,5,16,9,15,8,4,6,13,17,11,12,1,14,18,3,7,10;4,2,6,5,3,1;5,3,4,2,1,6;1,2,3,4;2,1,3;3,7,2,4,5,1,6;3,2,4,1;1,7,6,8,9,4,2,10,3,5;1,3,2;V1B1T1;V1B2T1;V1B3T1;;;;;;;;;;;;;;;;13.05.2025 10:33:25;13.05.2025 10:40:51;13.05.2025 10:33:27;13.05.2025 10:33:30;13.05.2025 10:33:43;13.05.2025 10:35:18;13.05.2025 10:35:57;13.05.2025 10:36:34;13.05.2025 10:37:14;13.05.2025 10:38:15;13.05.2025 10:38:42;13.05.2025 10:39:18;13.05.2025 10:39:36;13.05.2025 10:39:57;13.05.2025 10:39:57;;;;;;;;;13.05.2025 10:40:42;13.05.2025 10:40:51;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
5;0;1;0;241;;13.05.2025;1;3;5;5;5;5;5;5;3;5;3;4;4;4;3;2;3;4;4;2;5;5;5;5;5;5;4;4;4;4;4;4;3;4;3;4;4;3;3;3;2;3;2;2;3;4;3;4;3;4;1;1;1;1;4;3;3;3;4;2;4;4;3;5;1;2;3;2;4;3;3;3;4;4;1;2;1;3;3;2;4;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;20;50;5;5;4;0;50;3;4;3;-2;-1;-2;60;0;1;7;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;43;1;-2;5;3;4;56;1;3;7;1,4,6,11,9,15,14,17,13,7,16,18,2,3,12,5,10,8;11,12,16,18,17,10,13,6,15,9,1,7,8,4,14,3,2,5;1,2,5,4,3,6;1,4,6,5,2,3;3,4,2,1;2,3,1;5,6,3,7,1,2,4;2,1,4,3;5,3,8,9,7,2,10,6,1,4;3,2,1;;;;V2B1T1;V2B3T2;V2B2T1;;;;;;;;;;;;;13.05.2025 10:33:25;13.05.2025 10:45:00;13.05.2025 10:33:37;13.05.2025 10:33:46;13.05.2025 10:33:57;13.05.2025 10:35:07;13.05.2025 10:36:05;13.05.2025 10:37:09;13.05.2025 10:38:08;13.05.2025 10:39:40;13.05.2025 10:40:53;13.05.2025 10:41:06;13.05.2025 10:41:06;13.05.2025 10:42:32;13.05.2025 10:43:20;13.05.2025 10:44:07;13.05.2025 10:44:07;;;;;;;13.05.2025 10:45:00;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";Chrome 0.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
5;0;1;0;242;;13.05.2025;1;3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;8,5,10,13,16,15,9,7,12,17,11,3,2,4,14,18,6,1;;;;;;;;;;;;;;;;V3B2T1;V3B1T2;V3B3T0;;;;;;;;;;13.05.2025 10:33:25;13.05.2025 10:34:16;13.05.2025 10:33:29;13.05.2025 10:33:35;13.05.2025 10:34:16;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 YaBrowser/24.10.0.0 Safari/537.36";Chrome 128.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
3;0;0;1;243;;13.05.2025;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.05.2025 10:33:26;13.05.2025 10:33:26;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36";Chrome 135.0;Android;Phone;https://iframe-tasks.yandex/;0;Russian
5;0;1;0;244;;13.05.2025;1;3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;7,13,9,18,5,16,6,14,8,12,15,17,3,10,1,2,4,11;;;;;;;;;;;;;;;;;;;;;;V5B3T1;V5B1T2;V5B2T0;;;;13.05.2025 10:33:26;13.05.2025 10:33:44;13.05.2025 10:33:28;13.05.2025 10:33:36;13.05.2025 10:33:44;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";Chrome 0.0;Linux;PC;https://iframe-tasks.yandex/;0;Russian
3;0;0;1;245;;13.05.2025;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.05.2025 10:33:26;13.05.2025 10:33:26;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0";Edge 0.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
5;0;1;0;246;;13.05.2025;1;3;2;4;4;4;4;4;5;5;4;4;4;4;2;2;2;5;3;5;2;2;2;2;2;2;3;2;2;4;4;4;2;2;3;4;3;2;1;2;2;2;2;2;2;2;2;4;4;4;3;3;4;2;4;2;3;2;2;2;3;4;4;5;4;4;4;4;2;2;4;2;4;2;2;4;2;3;4;2;4;2;1;50;3;5;3;35;15;1;6;2;-1;-2;-2;20;69;5;2;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;45;1;-2;3;3;4;44;4;3;7;4,16,13,12,1,11,6,5,3,10,17,9,8,7,2,14,18,15;12,11,17,15,5,7,4,16,3,9,8,10,1,18,14,2,6,13;1,4,3,5,6,2;3,6,2,5,4,1;4,1,2,3;1,2,3;7,3,6,5,2,4,1;3,2,4,1;1,7,3,8,6,4,2,5,10,9;2,1,3;V1B1T0;V1B2T0;V1B3T0;;;;;;;;;;;;;;;;13.05.2025 10:33:26;13.05.2025 10:50:10;13.05.2025 10:33:43;13.05.2025 10:33:51;13.05.2025 10:34:19;13.05.2025 10:36:23;13.05.2025 10:38:43;13.05.2025 10:39:46;13.05.2025 10:41:26;13.05.2025 10:42:59;13.05.2025 10:43:55;13.05.2025 10:46:36;13.05.2025 10:47:55;13.05.2025 10:48:53;13.05.2025 10:48:53;;;;;;;;;13.05.2025 10:50:10;;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36";Chrome 0.0;Android;Phone;0;0;Russian
6;0;1;0;247;;13.05.2025;1;3;5;4;5;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;3;5;4;3;4;4;4;4;3;5;4;4;3;4;4;4;4;4;5;4;4;4;4;2;5;4;4;3;4;4;3;4;3;5;5;5;5;4;3;4;4;4;4;5;3;5;4;4;4;4;4;4;4;4;5;3;3;3;4;4;4;4;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;92;82;7;5;6;87;75;5;5;6;-2;-2;-1;85;87;6;6;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;39;1;-2;3;3;2;9;5;1;4;2,17,6,1,9,15,18,14,5,16,3,13,4,8,10,12,11,7;2,18,4,17,16,10,3,1,8,6,15,7,14,5,9,13,11,12;4,2,6,5,1,3;1,5,2,6,4,3;4,2,3,1;2,1,3;6,7,2,1,5,4,3;2,4,3,1;1,10,6,4,5,7,2,3,9,8;2,3,1;;;;V2B1T2;V2B3T1;V2B2T2;;;;;;;;;;;;;13.05.2025 10:33:26;13.05.2025 10:37:44;13.05.2025 10:33:29;13.05.2025 10:33:32;13.05.2025 10:33:40;13.05.2025 10:34:04;13.05.2025 10:34:26;13.05.2025 10:34:53;13.05.2025 10:35:22;13.05.2025 10:35:51;13.05.2025 10:35:58;13.05.2025 10:36:01;13.05.2025 10:36:01;13.05.2025 10:36:19;13.05.2025 10:36:34;13.05.2025 10:36:46;13.05.2025 10:36:46;;;;;;;13.05.2025 10:37:19;13.05.2025 10:37:44;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
5;0;1;0;248;;13.05.2025;1;3;2;2;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;3;3;3;4;4;4;4;4;3;4;4;4;3;4;4;3;3;3;4;3;2;4;3;3;2;3;3;2;2;2;2;5;4;4;4;3;3;3;5;4;5;4;4;4;4;3;2;3;2;2;2;2;2;2;3;4;4;4;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;23;57;4;4;3;100;100;7;1;7;-2;-2;-1;83;74;5;4;4;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;34;1;-2;3;3;4;11;3;3;7;17,6,5,16,12,15,10,1,13,18,4,3,9,14,8,7,2,11;2,9,14,8,10,3,17,4,16,18,13,11,5,15,12,6,7,1;2,4,3,6,1,5;3,6,4,2,1,5;3,1,4,2;3,2,1;4,7,5,1,2,6,3;2,3,1,4;1,6,3,5,9,7,2,10,8,4;3,2,1;;;;;;;V3B2T2;V3B1T1;V3B3T2;;;;;;;;;;13.05.2025 10:33:27;13.05.2025 10:42:23;13.05.2025 10:33:34;13.05.2025 10:33:41;13.05.2025 10:34:03;13.05.2025 10:35:20;13.05.2025 10:36:06;13.05.2025 10:36:47;13.05.2025 10:37:45;13.05.2025 10:38:56;13.05.2025 10:39:35;13.05.2025 10:39:39;13.05.2025 10:39:39;;;13.05.2025 10:40:39;13.05.2025 10:41:10;13.05.2025 10:41:39;13.05.2025 10:41:39;;;;;13.05.2025 10:42:23;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;Russian
